...1,es_score,brier_score,location,target_date,X23F_50_CI,X24A_50_CI,recombinant_50_CI,other_50_CI,X23F_95_CI,X24A_95_CI,recombinant_95_CI,other_95_CI
287,NA,NA,CT,2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA
288,3.0517314512791e-4,1.3951205458756e-4,CT,2024-02-11,1,1,1,1,1,1,1,1
289,0.00769866762431637,1.20070393642545e-4,CT,2024-02-12,1,1,1,1,1,1,1,1
290,NA,NA,CT,2024-02-13,NA,NA,NA,NA,NA,NA,NA,NA
291,1.8290024003186e-4,8.8918465985855e-5,CT,2024-02-14,1,1,1,1,1,1,1,1
292,1.430759859461e-4,7.651249304619e-5,CT,2024-02-15,1,1,1,1,1,1,1,1
293,NA,NA,CT,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA
294,1.3000865258327e-4,5.664440453306e-5,CT,2024-02-17,1,1,1,1,1,1,1,1
295,0.20437769897689,0.0263141467996906,DC,2024-01-07,1,1,1,1,1,1,1,1
296,0.343106651275849,0.0232721203152215,DC,2024-01-08,1,1,1,1,1,1,1,1
297,1.03831264078893,0.0205483676181084,DC,2024-01-09,1,0,1,1,0,0,1,1
298,0.985980064827071,0.76346914331231,DC,2024-01-10,0,0,1,1,1,1,1,1
299,NA,NA,DC,2024-01-11,NA,NA,NA,NA,NA,NA,NA,NA
300,NA,NA,DC,2024-01-12,NA,NA,NA,NA,NA,NA,NA,NA
301,0.0300749059818595,0.01230751193177625,DC,2024-01-13,1,1,1,1,1,1,1,1
302,NA,NA,DC,2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA
303,NA,NA,DC,2024-01-15,NA,NA,NA,NA,NA,NA,NA,NA
