...1,es_score,brier_score,location,target_date,X21K_50_CI,X21L_50_CI,X22B_50_CI,X22C_50_CI,X22D_50_CI,X22E_50_CI,X23A_50_CI,X23D_50_CI,X23B_50_CI,other_50_CI,X21K_95_CI,X21L_95_CI,X22B_95_CI,X22C_95_CI,X22D_95_CI,X22E_95_CI,X23A_95_CI,X23D_95_CI,X23B_95_CI,other_95_CI
157,1.92492794968002,0.13523818142896,AZ,2023-04-25,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0
158,1.86513080581948,0.0995484239654205,AZ,2023-04-26,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
159,0.950962444393848,0.079261414795571,AZ,2023-04-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
160,0.876811828998822,0.02238882651275065,AZ,2023-04-28,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
161,0.487387349538149,0.02467169565279015,AZ,2023-04-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
162,1.96163135910895,0.2112776617576425,AZ,2023-04-30,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1
163,2.12800288895748,0.0971817773657235,AZ,2023-05-01,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0
164,5.27465034513039,0.2158036960338865,AZ,2023-05-02,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0
165,3.43572526035628,0.152243588996846,AZ,2023-05-03,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0
166,1.57774788177623,0.084735656406534507,AZ,2023-05-04,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1
167,1.69935258847632,0.255741259415729,AZ,2023-05-05,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0
168,1.26736249097764,0.0485946919705679,AZ,2023-05-06,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
169,5.99884989922095,0.174637570187146,CA,2023-03-26,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0
170,3.24401697134126,0.09751501828517,CA,2023-03-27,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0
171,1.82034064715889,0.052266795390054,CA,2023-03-28,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0
172,9.09005668265256,0.2030188200744705,CA,2023-03-29,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0
173,1.47056638261017,0.0706810753799355,CA,2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
174,2.60677795620119,0.119511854140226,CA,2023-03-31,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0
175,6.77611085552103,0.2003784837402635,CA,2023-04-01,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0
176,5.46159006091455,0.168722682123303,CA,2023-04-02,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0
177,6.95871275274989,0.157924897150308,CA,2023-04-03,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0
