...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23D_50_CI,X23B_50_CI,X23E_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23D_95_CI,X23B_95_CI,X23E_95_CI,other_95_CI
177,2.6204424347223,0.146921391091387,CA,2023-04-17,1,0,1,1,1,0,0,1,1,1,0,0,0,1
178,2.19390620275058,0.1270013694209,CA,2023-04-18,1,1,1,1,0,1,0,1,0,0,0,0,0,0
179,4.0857687257764,0.2148004164588765,CA,2023-04-19,1,1,0,0,1,0,0,1,0,0,0,1,1,0
180,3.09386265878393,0.207655206691478,CA,2023-04-20,0,0,0,1,1,1,1,0,0,0,0,0,0,1
181,4.4257994878896,0.0758208995518985,CA,2023-04-21,1,0,0,0,0,1,1,1,0,0,0,0,0,1
182,6.1206920088357,0.3259718473144945,CA,2023-04-22,0,1,0,1,1,0,0,0,1,0,0,0,0,0
183,1.9360166012773,0.267383609585159,CA,2023-04-23,1,1,0,1,0,1,1,1,1,0,1,0,1,1
184,1.93500467649968,0.1557475224792495,CA,2023-04-24,1,1,1,0,1,1,0,1,1,1,0,0,0,0
185,7.71328100393175,0.2451288152404,CA,2023-04-25,1,0,0,0,0,1,0,1,0,0,0,0,1,0
186,5.62718859292812,0.1426986565021415,CA,2023-04-26,1,0,0,1,0,0,0,0,0,0,0,0,0,1
187,2.46775940089424,0.1688051228725875,CA,2023-04-27,1,0,1,1,0,1,1,1,0,0,0,0,0,1
188,2.1813547316643,0.178176225550145,CA,2023-04-28,0,0,1,1,1,1,1,0,0,0,0,0,0,1
189,6.1479688176865,0.28165141792194,CA,2023-04-29,0,0,0,0,1,1,0,0,0,0,0,0,1,0
190,3.58100076215309,0.1921467360933465,CA,2023-04-30,1,0,1,1,0,1,0,1,0,0,0,0,0,0
191,6.36268660640602,0.2515082641273105,CA,2023-05-01,1,0,0,0,1,1,1,1,0,0,0,0,0,1
192,7.40825291393565,0.2796826764578195,CA,2023-05-02,1,0,0,0,1,0,0,1,0,0,0,0,0,0
193,3.1722913839553,0.1937856078463025,CA,2023-05-03,1,0,1,1,0,1,1,1,0,0,0,0,0,1
194,2.28046578395622,0.2361136091606665,CA,2023-05-04,1,1,1,0,1,1,1,1,1,0,0,0,1,1
195,7.30050515318829,0.214560508190416,CA,2023-05-05,1,0,1,0,0,0,1,1,0,0,0,0,0,1
196,3.04619768145769,0.199574731047574,CA,2023-05-06,1,1,0,1,0,1,0,1,1,1,1,0,0,0
197,1.29152302574932,0.2720932607433935,CA,2023-05-07,1,1,1,1,1,1,1,1,1,0,0,0,1,1
198,9.94620917639163,0.3688188835743635,CA,2023-05-08,0,0,0,0,0,0,0,0,1,0,0,0,0,0
199,9.22179096877673,0.2101266125816285,CA,2023-05-09,1,0,0,1,0,1,0,1,0,0,0,0,0,0
200,5.68142224793557,0.2927755087460675,CA,2023-05-10,1,0,1,0,0,0,0,1,0,0,0,0,0,0
201,4.27345019363562,0.289148082176295,CA,2023-05-11,1,0,1,1,0,1,0,1,0,0,1,0,0,0
202,2.34698288668707,0.2374547956384385,CA,2023-05-12,1,0,1,1,0,1,0,1,0,0,1,0,0,0
203,1.69244652974278,0.427738654455771,CA,2023-05-13,1,1,1,0,1,0,1,1,1,0,0,1,1,1
204,4.96709037110747,0.547161702960665,CA,2023-05-14,1,1,0,0,0,0,0,1,1,0,0,0,0,0
205,2.49242677340944,0.3222028964897185,CA,2023-05-15,1,1,0,1,0,1,1,1,1,0,0,0,1,1
206,2.21935204195885,0.2469348249984355,CA,2023-05-16,1,1,0,1,0,1,1,1,1,0,0,0,0,1
207,3.25737374268758,0.3433412299588735,CA,2023-05-17,0,0,1,1,0,0,1,0,0,0,0,1,0,1
208,1.73587987128506,0.3251869692631745,CA,2023-05-18,1,1,1,0,1,1,1,1,1,0,0,0,0,1
209,3.79144334486196,0.2878355449228255,CA,2023-05-19,1,0,0,1,0,1,1,1,0,0,0,0,0,1
210,1.4718391672377,0.1723017087826435,CA,2023-05-20,1,1,0,1,0,1,1,1,1,0,1,0,1,1
211,0.00417849195479661,0.00312845751843399,CO,2023-04-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
212,0.00445218470442027,0.003310109757397835,CO,2023-04-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
