"","es_score","brier_score","location","target_date","X22F_50_CI","X23B_50_CI","X23C_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","X23G_50_CI","other_50_CI","X23A_50_CI","X22F_95_CI","X23B_95_CI","X23C_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","X23G_95_CI","other_95_CI","X23A_95_CI"
"155",1.04023643531275,0.693211443154802,"AZ",2023-06-25,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0
"156",4.57969069306256,0.790168475869193,"AZ",2023-06-26,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0
"157",8.25331650953193,0.876589770446336,"AZ",2023-06-27,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0
"158",3.52557502517566,0.829494072586717,"AZ",2023-06-28,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0
"159",2.98443278703066,0.784105950041508,"AZ",2023-06-29,1,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0
"160",1.09744157559778,0.73783736904919,"AZ",2023-06-30,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
"161",2.01221022360722,0.86816466026288,"AZ",2023-07-01,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0
"162",2.62742101866884,0.732844222993795,"AZ",2023-07-02,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0
"163",7.43650205716578,0.843082135498775,"AZ",2023-07-03,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0
"164",4.99594475584996,0.889665542001951,"AZ",2023-07-04,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0
"165",1.24172365293688,0.769410463107062,"AZ",2023-07-05,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
"166",1.37567569231656,0.893658598673848,"AZ",2023-07-06,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1
"167",0.682907451684395,0.955075206428639,"AZ",2023-07-07,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
"168",1.55083752888058,0.72774384273926,"AZ",2023-07-08,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1
"169",1.46469677435895,0.825168290360591,"CA",2023-05-28,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0
"170",1.72926491324628,0.943726501222386,"CA",2023-05-29,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0
"171",2.35217581870485,0.582903978479461,"CA",2023-05-30,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0
"172",1.97456292011174,0.646333389375535,"CA",2023-05-31,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1
"173",2.18134195421219,0.641501072102181,"CA",2023-06-01,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0
"174",1.31951972328195,0.737270897442788,"CA",2023-06-02,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0
"175",1.53221932445738,0.614748624301455,"CA",2023-06-03,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0
"176",2.11761163138352,0.851711963243056,"CA",2023-06-04,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0
"177",1.75817391849668,0.611051057287914,"CA",2023-06-05,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0
"178",1.97392774092332,0.809593114972445,"CA",2023-06-06,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0
"179",1.85384803377545,0.790937878584391,"CA",2023-06-07,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0
"180",1.00559988470704,0.716718687867871,"CA",2023-06-08,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0
"181",3.26946411375564,0.929920622325327,"CA",2023-06-09,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0
"182",1.21617006626624,1.16125239087893,"CA",2023-06-10,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0
"183",0.863186694690578,0.700663296307958,"CA",2023-06-11,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"184",1.75114553222076,0.749467156142505,"CA",2023-06-12,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,0
