...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,other_50_CI,X22E_50_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,other_95_CI,X22E_95_CI
230,0.0450824866921649,0.00227770245288356,CO,2023-03-10,1,1,1,1,1,1,1,1,1,1,1,1
231,0.00226080423089803,0.00206543180134299,CO,2023-03-11,1,1,1,1,1,1,1,1,1,1,1,1
232,0.00963941370444379,0.001876345520538965,CO,2023-03-12,1,1,1,1,1,1,1,1,1,1,1,1
233,0.0088310293477665,0.001707928268235815,CO,2023-03-13,1,1,1,1,1,1,1,1,1,1,1,1
234,0.0462495300339504,0.001557933320592765,CO,2023-03-14,1,1,1,1,1,1,1,1,1,1,1,1
235,0.249045261078961,0.00142435561801771,CO,2023-03-15,1,1,1,1,1,1,1,0,0,1,1,1
236,0.159954078710804,0.001305407180154135,CO,2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1
237,1.04469893572139,0.1884020535473435,CO,2023-03-17,1,0,1,1,1,0,1,0,1,1,1,0
238,1.24514460823753,0.4706063152051895,CO,2023-03-18,1,0,1,1,1,0,1,0,1,1,1,0
239,1.00326350052453,0.157988085390002,CO,2023-03-19,1,0,1,1,1,0,1,0,1,1,1,0
240,0.136736082230145,9.46548980059085e-4,CO,2023-03-20,1,1,1,1,1,1,1,1,1,1,1,1
241,1.09640135170445,0.121331776781473,CO,2023-03-21,1,1,1,1,0,1,1,0,1,1,0,1
242,5.33585099871745,0.53081479964244,CO,2023-03-22,0,0,1,0,1,0,0,0,1,0,1,0
243,0.993888846662341,0.119961740658729,CO,2023-03-23,1,0,1,0,1,1,1,0,1,0,1,1
244,0.0297444340499532,7.2164341477396e-4,CO,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1
245,7.8160755385536e-4,6.80157530130245e-4,CO,2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1
246,1.14997943608772,0.191825212249831,CO,2023-03-26,1,0,1,0,1,1,1,0,1,0,1,1
247,0.0272633138211891,6.1074230520522e-4,CO,2023-03-27,1,1,1,1,1,1,1,1,1,1,1,1
248,0.0177301416078551,5.81888333102965e-4,CO,2023-03-28,1,1,1,1,1,1,1,1,1,1,1,1
