...1,es_score,brier_score,location,target_date,X22A_50_CI,other_50_CI,X22B_50_CI,X22A_95_CI,other_95_CI,X22B_95_CI
251,2.80156121587158,0.3094451177374005,CO,2022-10-07,1,0,0,0,0,0
252,0.853130743969135,0.222989798605307,CO,2022-10-08,0,1,0,0,1,0
253,2.23576057886693,0.0352976775048438,CT,2022-08-28,0,1,0,0,0,0
254,1.14178787154452,0.1140133537236385,CT,2022-08-29,1,0,1,1,0,0
255,3.59104006532394,0.1928363311509085,CT,2022-08-30,0,0,0,0,0,0
256,1.88959219327209,0.147527359438784,CT,2022-08-31,0,1,0,0,1,0
257,1.89652945807633,0.1697083806997005,CT,2022-09-01,0,1,0,1,1,1
258,1.37043618835556,0.1379882707813645,CT,2022-09-02,0,1,0,0,1,0
259,2.27938128115902,0.1583604890693,CT,2022-09-03,0,1,0,0,1,0
260,2.71580106559332,0.1772274165393135,CT,2022-09-04,0,1,0,0,1,0
261,3.44080897609839,0.3029583064818615,CT,2022-09-05,0,1,0,0,1,0
262,4.21367199417659,0.1808779645597965,CT,2022-09-06,0,1,0,0,1,0
263,3.10171642963141,0.1611643239765715,CT,2022-09-07,0,1,0,0,1,0
264,1.38826633321359,0.129316154996402,CT,2022-09-08,0,1,0,0,1,0
265,4.83220603922285,0.199119266945479,CT,2022-09-09,0,1,0,0,1,0
266,5.95257537452614,0.267261995204625,CT,2022-09-10,0,0,0,0,0,0
267,4.52466476214882,0.182362856866763,CT,2022-09-11,0,1,0,0,1,0
268,6.74352492681581,0.2015237176930915,CT,2022-09-12,0,0,0,0,0,0
269,6.46847009124891,0.265296041281054,CT,2022-09-13,0,0,0,0,0,0
270,2.03399958139239,0.1692903309673305,CT,2022-09-14,1,0,0,0,0,0
271,3.16694578390128,0.1348881870085035,CT,2022-09-15,1,0,0,1,0,0
272,12.9262734161593,0.22002837301727,CT,2022-09-16,0,0,0,0,0,0
273,2.7774535557927,0.1483398665389465,CT,2022-09-17,0,0,0,0,0,0
274,7.08868238840675,0.2149447545165675,CT,2022-09-18,0,0,0,0,0,0
275,1.91593031694343,0.1199531486052505,CT,2022-09-19,0,1,0,0,1,0
276,6.721106459047,0.186783809694401,CT,2022-09-20,0,1,0,0,1,0
277,10.6092125472004,0.329160520241463,CT,2022-09-21,0,0,0,0,0,0
278,1.91687683157595,0.144412927225554,CT,2022-09-22,1,0,0,0,0,0
279,1.27777725886548,0.102119222652045,CT,2022-09-23,1,0,1,1,0,0
280,7.32845079000467,0.2574086133848715,CT,2022-09-24,0,0,0,0,0,0
281,3.89291697101904,0.1844147406870905,CT,2022-09-25,0,0,0,0,0,0
282,1.06440209039539,0.092949910081245,CT,2022-09-26,1,1,1,0,1,0
283,1.81289354494147,0.1300818447180275,CT,2022-09-27,1,0,0,0,0,0
284,5.50415271745819,0.2503781024607595,CT,2022-09-28,0,1,0,0,1,0
285,1.20635110063029,0.1030559973667735,CT,2022-09-29,1,0,1,1,0,0
