...1,es_score,brier_score,location,target_date,X23H_50_CI,X24A_50_CI,recombinant_50_CI,other_50_CI,X23H_95_CI,X24A_95_CI,recombinant_95_CI,other_95_CI
253,5.9180595087408e-4,5.3108027915252e-4,CT,2024-02-11,1,1,1,1,1,1,1,1
254,0.0239549611053987,4.65494743656585e-4,CT,2024-02-12,1,1,1,1,1,1,1,1
255,NA,NA,CT,2024-02-13,NA,NA,NA,NA,NA,NA,NA,NA
256,5.9783050069252e-4,3.57644872432915e-4,CT,2024-02-14,1,1,1,1,1,0,0,1
257,5.9265447901142e-4,3.1351025343843e-4,CT,2024-02-15,1,1,1,1,1,1,1,1
258,NA,NA,CT,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA
259,3.2958247132758e-4,2.40965144533435e-4,CT,2024-02-17,1,1,1,1,1,1,1,1
260,NA,NA,CT,2024-02-18,NA,NA,NA,NA,NA,NA,NA,NA
261,0.00111366991401752,1.8528717798681e-4,CT,2024-02-19,1,1,1,1,1,1,1,1
262,NA,NA,CT,2024-02-20,NA,NA,NA,NA,NA,NA,NA,NA
263,0.00163933785471054,1.4255540542406e-4,CT,2024-02-21,1,1,1,1,1,1,1,1
264,1.35140115358666,0.4892730659005835,CT,2024-02-22,1,0,1,0,1,0,1,0
265,7.6914833206874e-4,1.09755072160705e-4,CT,2024-02-23,1,1,1,1,1,1,1,1
266,NA,NA,CT,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA
267,0.00104144536833223,8.4570869489615e-5,CT,2024-02-25,1,1,1,1,1,1,1,1
268,1.069004029881e-4,7.426222194733e-5,CT,2024-02-26,1,1,1,1,1,1,1,1
269,3.7462247238065e-4,6.5226279924735e-5,CT,2024-02-27,1,1,1,1,1,1,1,1
270,9.81464210484239e-5,5.730477005222e-5,CT,2024-02-28,1,1,1,1,1,1,1,1
271,7.5902937208637e-4,5.0359137254195e-5,CT,2024-02-29,1,1,1,1,1,1,1,1
272,NA,NA,CT,2024-03-01,NA,NA,NA,NA,NA,NA,NA,NA
273,NA,NA,CT,2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA
274,NA,NA,CT,2024-03-03,NA,NA,NA,NA,NA,NA,NA,NA
275,3.96121218019969e-5,3.012554248224215e-5,CT,2024-03-04,1,1,1,1,1,1,1,1
276,3.42522524120811e-5,2.651569624122625e-5,CT,2024-03-05,1,1,1,1,1,1,1,1
277,NA,NA,CT,2024-03-06,NA,NA,NA,NA,NA,NA,NA,NA
