...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,X23G_50_CI,other_50_CI,X23A_50_CI,X22E_95_CI,X22F_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,X23G_95_CI,other_95_CI,X23A_95_CI
130,2.55610863925453,0.3839866087231335,AZ,2023-06-21,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0
131,2.15018194619975,0.4199339259559205,AZ,2023-06-22,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0
132,0.459800879676767,0.3287828652420805,AZ,2023-06-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
133,0.851945739992697,0.3595577579384755,AZ,2023-06-24,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
134,1.07760135736637,0.3492471721182595,AZ,2023-06-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
135,3.51072704939742,0.382550856904622,AZ,2023-06-26,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0
136,7.11743086815648,0.4105740524352155,AZ,2023-06-27,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0
137,3.05468977349167,0.392580243958086,AZ,2023-06-28,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0
138,2.67005576027579,0.384180832790534,AZ,2023-06-29,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0
139,0.971589681248782,0.360122663151286,AZ,2023-06-30,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0
140,1.81718677434059,0.4006044055158865,AZ,2023-07-01,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0
141,2.23488971933529,0.361148395960847,AZ,2023-07-02,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0
