...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,X23G_50_CI,other_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,X23G_95_CI,other_95_CI
124,NA,NA,AR,2023-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,0.903745752281021,0.546021088394565,AR,2023-08-04,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1
126,NA,NA,AR,2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1.53909273668503,0.3817069881145225,AZ,2023-06-25,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
128,1.47655404161281,0.362058860191169,AZ,2023-06-26,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1
129,3.26060222259166,0.337601928437712,AZ,2023-06-27,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
130,1.71860303117211,0.338687635369239,AZ,2023-06-28,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1
131,2.00041655244751,0.3709538896198525,AZ,2023-06-29,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1
132,1.01184851474744,0.362565466170758,AZ,2023-06-30,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1
133,1.10326256644895,0.2793659730314405,AZ,2023-07-01,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
134,2.3625127984191,0.3651108646605075,AZ,2023-07-02,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1
135,3.08931694364909,0.3158073614903495,AZ,2023-07-03,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1
136,2.31410480051457,0.3221858707742795,AZ,2023-07-04,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0
137,1.55522824902897,0.400348070100815,AZ,2023-07-05,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1
138,1.36045536189618,0.443132536790434,AZ,2023-07-06,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1
139,0.336679927713463,0.240409443377977,AZ,2023-07-07,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
140,2.23709518239176,0.4109184182084415,AZ,2023-07-08,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0
