...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,X23H_50_CI,X23G_50_CI,other_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,X23H_95_CI,X23G_95_CI,other_95_CI
157,2.08918220429638,0.362745168522095,AZ,2023-10-31,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
158,1.33385926524416,0.3294464548979375,AZ,2023-11-01,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
159,2.38045909067535,0.350985413572912,AZ,2023-11-02,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0
160,1.92956437805511,0.401934263112218,AZ,2023-11-03,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1
161,0.883329509157811,0.3884565616635505,AZ,2023-11-04,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1
162,2.99301588662428,0.3806942676708845,AZ,2023-11-05,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
163,3.14601146992915,0.351964201228056,AZ,2023-11-06,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1
164,1.45368032334206,0.3139264495796075,AZ,2023-11-07,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
165,3.00041848030744,0.3867203511021195,AZ,2023-11-08,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1
166,1.55984745227314,0.3631639229381085,AZ,2023-11-09,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0
167,1.56840640833573,0.384849444735132,AZ,2023-11-10,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1
168,1.40526179717328,0.35666247931073,AZ,2023-11-11,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1
169,1.30543255847655,0.408769536111573,CA,2023-10-01,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1
170,2.70259967146278,0.3313221914942805,CA,2023-10-02,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0
171,2.28479262924127,0.3462821235829175,CA,2023-10-03,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0
172,3.49026057913277,0.3370762131053165,CA,2023-10-04,1,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0
173,6.12505547155411,0.4447051341305325,CA,2023-10-05,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1
174,2.59514132012431,0.411034004961237,CA,2023-10-06,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
175,1.6852124219619,0.2301485811711345,CA,2023-10-07,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1
