...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
157,1.95427471871526,0.163673220118999,AZ,2023-02-21,1,0,1,0,1,1,1,1,1,0,0,1
158,3.18959709487913,0.27060792497879,AZ,2023-02-22,1,0,0,0,1,1,1,0,0,1,1,1
159,0.463723533640325,0.091134703938717,AZ,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1
160,1.44284886223324,0.183916886770903,AZ,2023-02-24,0,1,1,0,1,1,0,0,1,1,1,1
161,1.91844890337159,0.3117440655012805,AZ,2023-02-25,1,1,0,0,1,0,1,1,0,0,1,0
162,2.65675662119906,0.1619920552002515,AZ,2023-02-26,0,0,1,0,1,0,0,0,1,0,1,0
163,4.03704035363793,0.103739947901126,AZ,2023-02-27,0,1,0,0,1,1,0,0,0,1,0,1
164,1.28124428118725,0.0786507183423285,AZ,2023-02-28,1,1,1,0,1,1,0,1,0,1,1,1
165,5.39979087918817,0.2006781862125075,AZ,2023-03-01,0,1,0,0,0,0,0,0,0,0,0,0
166,3.29709142939666,0.223599210180427,AZ,2023-03-02,1,1,0,0,0,0,1,0,0,0,0,0
167,4.45776761816286,0.4208306027992405,AZ,2023-03-03,1,0,0,0,1,1,1,0,0,0,1,1
168,6.22491381040431,0.4736143254158475,AZ,2023-03-04,1,0,0,0,1,0,1,0,0,0,1,0
169,4.12359811952226,0.3064533209960015,CA,2023-01-22,0,1,1,1,1,0,0,0,0,0,0,0
170,7.27677818905086,0.3137143553038875,CA,2023-01-23,0,0,0,1,1,0,0,0,1,1,0,0
171,4.41608951698429,0.2676528774052075,CA,2023-01-24,1,0,0,1,1,1,0,0,0,1,0,0
172,5.85704466477579,0.31751100214192,CA,2023-01-25,0,1,1,0,1,0,0,1,0,0,1,0
173,4.02146362008506,0.305382396080608,CA,2023-01-26,1,1,1,1,1,0,0,0,0,0,0,0
174,7.65149018180215,0.331929054070451,CA,2023-01-27,0,0,1,1,0,0,0,0,0,0,0,0
175,6.27077016348757,0.313108513941394,CA,2023-01-28,0,0,1,1,0,1,0,0,0,0,0,0
176,6.92074953290574,0.313625457742201,CA,2023-01-29,0,0,1,1,0,0,0,0,0,0,0,0
177,4.14183126857674,0.3007005583933175,CA,2023-01-30,1,0,1,0,1,0,1,0,0,0,0,1
178,2.10056109267956,0.290236226163529,CA,2023-01-31,1,1,0,1,1,0,0,0,0,0,1,0
179,2.57795853869005,0.2819782780471625,CA,2023-02-01,0,1,0,1,1,0,0,0,0,0,0,0
