...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
192,8.82304964226248,0.174986053405465,CA,2022-12-20,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
193,20.3399311603538,0.2251399736002665,CA,2022-12-21,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
194,42.5520945107117,0.252546435685721,CA,2022-12-22,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
195,42.0711597309805,0.2209372762324955,CA,2022-12-23,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
196,12.9596204023517,0.2446631566691475,CA,2022-12-24,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
197,0.285807090381173,0.02666272781879615,CA,2022-12-25,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
198,26.8742009763356,0.234751882684582,CA,2022-12-26,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
199,35.5125254041982,0.2310233155721755,CA,2022-12-27,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
200,27.9647323309939,0.2196651356517375,CA,2022-12-28,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
201,24.9180964019281,0.2350060301347835,CA,2022-12-29,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
202,39.671290765657,0.2638541010508125,CA,2022-12-30,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
203,13.6159611176426,0.2819088574239225,CA,2022-12-31,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
204,1.00130011964411,0.1940054367993995,CA,2023-01-01,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
205,34.4237046561574,0.2334622455629095,CA,2023-01-02,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
206,30.7235187074991,0.307167413970001,CA,2023-01-03,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
207,13.896138461712,0.266380555106197,CA,2023-01-04,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
208,14.7263290400941,0.2658535039194335,CA,2023-01-05,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
209,13.5833781046378,0.2858529822177255,CA,2023-01-06,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0
210,14.4605879995179,0.268520095001088,CA,2023-01-07,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
211,0.922722683166438,0.246285808606618,CO,2022-11-27,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
212,3.09885635110253,0.286901414980738,CO,2022-11-28,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1
