...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22C_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22C_95_CI,other_95_CI
280,2.48940692302969,0.1340444775647465,CT,2022-08-27,0,0,1,0,0,0,1,0
281,0.731121960995702,0.0304921454131396,CT,2022-08-28,1,1,1,1,0,0,1,1
282,2.94982385188751,0.1169661133063315,CT,2022-08-29,0,0,1,0,0,0,1,0
283,5.55014906719101,0.2040209670414895,CT,2022-08-30,0,0,1,0,0,0,1,0
284,3.53735908717931,0.1554890329579825,CT,2022-08-31,0,0,1,1,0,0,1,1
285,3.15545047890247,0.180185899178977,CT,2022-09-01,0,0,1,1,0,0,1,1
286,2.87342746070201,0.1450904514624155,CT,2022-09-02,0,0,1,1,1,1,1,1
287,4.22562544749174,0.167755995681878,CT,2022-09-03,0,0,1,1,0,0,1,1
288,4.38370936119753,0.188728087751463,CT,2022-09-04,0,0,1,1,1,1,1,1
289,4.32002456293946,0.3279959086246645,CT,2022-09-05,0,0,1,1,0,0,1,1
290,6.2231462671697,0.192877339103526,CT,2022-09-06,0,0,1,1,0,0,1,1
291,5.32749353916298,0.171118206036782,CT,2022-09-07,0,0,1,1,0,0,1,1
292,2.96198671435721,0.135963577258446,CT,2022-09-08,0,0,1,1,0,0,1,1
293,7.02530662100313,0.213153782223692,CT,2022-09-09,0,0,1,1,0,0,1,1
294,7.68014504299697,0.2845069231227905,CT,2022-09-10,0,0,1,0,0,0,1,0
295,0.821535564965667,0.0171438202968433,DC,2022-07-31,1,1,1,1,1,1,1,1
296,0.720967589936528,0.166039200819769,DC,2022-08-01,1,1,1,1,0,0,0,1
297,3.07465572001177,0.251848116481915,DC,2022-08-02,0,0,1,1,0,0,0,1
298,3.41370058207953,0.3968112426184885,DC,2022-08-03,0,0,1,1,0,0,0,1
299,0.462157168063753,0.0131340430279886,DC,2022-08-04,1,1,1,1,0,0,1,1
300,1.9155977622051,0.53235647845616,DC,2022-08-05,0,0,1,1,0,0,1,1
301,NA,NA,DC,2022-08-06,NA,NA,NA,NA,NA,NA,NA,NA
