"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23B_50_CI","X23C_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","X23G_50_CI","other_50_CI","X22F_95_CI","X23A_95_CI","X23B_95_CI","X23C_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","X23G_95_CI","other_95_CI"
"141",2.32647479013349,0.365650908275843,"AZ",2023-07-16,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0
"142",4.49013094961734,0.396019303352609,"AZ",2023-07-17,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,1
"143",1.92627297907662,0.397795536251431,"AZ",2023-07-18,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1
"144",2.72864761481345,0.377122587379307,"AZ",2023-07-19,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1
"145",1.07330040384888,0.391645878397444,"AZ",2023-07-20,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1
"146",1.58651876580365,0.352475712104532,"AZ",2023-07-21,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
"147",1.48971143602556,0.374192182385232,"AZ",2023-07-22,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1
"148",0.615150382367579,0.362469719902457,"AZ",2023-07-23,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"149",3.09509026252367,0.399311799401006,"AZ",2023-07-24,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1
"150",3.92456696672222,0.426853476130765,"AZ",2023-07-25,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1
"151",1.7692962506648,0.418816009254703,"AZ",2023-07-26,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1
"152",1.70587210594313,0.451460786667852,"AZ",2023-07-27,0,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1
"153",1.13651164708065,0.400120197868834,"AZ",2023-07-28,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"154",0.739601868742671,0.395891135362617,"AZ",2023-07-29,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"155",4.79399961284265,0.378737817507933,"AZ",2023-07-30,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0
"156",1.48904815511862,0.406626236484867,"AZ",2023-07-31,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0
"157",2.36213675988185,0.397096316667078,"AZ",2023-08-01,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1
"158",1.89449955569347,0.382541254665013,"AZ",2023-08-02,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1
"159",2.71052656899253,0.393146286185376,"AZ",2023-08-03,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1
"160",0.681541033787125,0.397278339142059,"AZ",2023-08-04,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
"161",2.13641061688717,0.404186052452133,"AZ",2023-08-05,1,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,1
"162",1.11545076679164,0.397072410675788,"AZ",2023-08-06,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1
"163",4.00254257413299,0.400474227019491,"AZ",2023-08-07,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1
"164",4.72490504143673,0.405206366281786,"AZ",2023-08-08,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,1,0,1
"165",3.14603406390036,0.427073209367463,"AZ",2023-08-09,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1
"166",1.09262502572617,0.46811915134929,"AZ",2023-08-10,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1
"167",0.937188947269583,0.460676843108117,"AZ",2023-08-11,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1
"168",0.451195319371944,0.318172198740723,"AZ",2023-08-12,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
"169",1.89993471102431,0.407568763359824,"CA",2023-07-02,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1
"170",2.83359113804253,0.410403951830015,"CA",2023-07-03,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1
"171",1.46409781338034,0.336121218156481,"CA",2023-07-04,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
"172",4.65658662128711,0.406259781599864,"CA",2023-07-05,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1
"173",3.3295374859773,0.386954633385337,"CA",2023-07-06,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1
"174",1.75886266391045,0.390521655229839,"CA",2023-07-07,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"175",1.95561892164411,0.349126866903809,"CA",2023-07-08,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
"176",0.740421280177425,0.404213425986895,"CA",2023-07-09,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1
"177",3.08414673411361,0.408048318987639,"CA",2023-07-10,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1
"178",1.82182036596921,0.414516700787626,"CA",2023-07-11,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1
"179",1.72133588283892,0.403679838316337,"CA",2023-07-12,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1
"180",2.13783936934295,0.405742819817057,"CA",2023-07-13,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1
"181",1.30365982888481,0.393666268780432,"CA",2023-07-14,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1
"182",1.20974997667949,0.412270500021221,"CA",2023-07-15,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1
"183",1.62755513329448,0.38172025948896,"CA",2023-07-16,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1
"184",1.78405680998613,0.421375201815826,"CA",2023-07-17,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1
"185",2.47901220409564,0.414732633407621,"CA",2023-07-18,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1
