...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,other_50_CI,X21L_95_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,other_95_CI
197,13.894954858118,0.2894671801645395,CA,2022-11-20,0,1,0,0,1,1,0,0,0,0,0,0,0,0
198,19.1506985486734,0.312877080497892,CA,2022-11-21,1,1,0,1,0,0,0,0,0,0,0,0,0,0
199,15.7126142109616,0.2940604062794885,CA,2022-11-22,0,1,0,1,1,0,1,0,0,0,0,0,0,0
200,17.372769746139,0.2983977232702965,CA,2022-11-23,0,1,0,1,1,0,1,0,0,0,0,0,0,0
201,1.58387958451762,0.270485473667341,CA,2022-11-24,1,1,1,1,1,1,1,0,0,0,0,0,0,1
202,17.7724641781456,0.2763409557831815,CA,2022-11-25,1,1,1,0,1,0,0,0,0,0,0,0,0,0
203,25.2092817209666,0.2739921150778435,CA,2022-11-26,1,1,0,0,1,1,0,0,0,0,0,0,0,1
204,36.5150362400749,0.303431095927076,CA,2022-11-27,1,1,0,1,0,0,0,0,0,0,0,0,0,0
205,25.9058242900966,0.276463851475923,CA,2022-11-28,1,1,0,0,1,0,0,0,0,0,0,0,0,0
206,18.5403301285898,0.271120655462878,CA,2022-11-29,1,1,0,1,1,1,1,0,0,0,0,0,0,0
207,18.5313284924648,0.265695153802843,CA,2022-11-30,0,0,0,1,1,0,1,0,0,0,0,0,0,1
208,24.436700845743,0.2726012156063205,CA,2022-12-01,0,1,0,1,1,0,0,0,0,0,0,0,0,0
209,41.5651530954035,0.2923661252254525,CA,2022-12-02,1,1,0,1,0,0,0,0,0,0,0,0,0,0
210,41.8645942314543,0.290884024647826,CA,2022-12-03,0,1,0,1,0,1,0,0,0,0,0,0,0,0
211,0.117297375913061,0.0811517728200025,CO,2022-10-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
212,1.43494487660016,0.2531470621243975,CO,2022-10-24,1,1,1,1,1,1,0,1,0,0,0,0,1,0
213,1.97391862184289,0.2765263769724485,CO,2022-10-25,1,1,1,0,1,1,1,1,0,0,0,0,1,1
214,1.37868159899946,0.208689801868385,CO,2022-10-26,1,1,1,1,1,1,1,1,1,0,1,0,1,1
215,1.95008979768662,0.3183735580377675,CO,2022-10-27,0,0,1,1,1,1,1,0,0,0,1,0,0,1
216,1.12459633122493,0.26413702525123,CO,2022-10-28,1,1,1,1,1,1,1,1,1,0,0,0,1,1
217,0.899051813747631,0.2834036639926005,CO,2022-10-29,1,1,1,1,1,1,1,1,1,0,1,0,1,1
218,0.913318107887895,0.205481859131566,CO,2022-10-30,1,1,1,1,1,1,1,1,1,0,1,1,0,1
219,1.92803741349833,0.318788514229268,CO,2022-10-31,1,1,0,1,0,1,1,1,1,1,1,1,1,1
220,1.22827316666561,0.3004897044905225,CO,2022-11-01,1,1,1,1,1,1,1,1,0,0,0,0,1,0
221,2.03188453945132,0.3433696687517435,CO,2022-11-02,1,1,0,0,1,1,1,1,0,0,0,1,1,1
222,1.83063111685252,0.2500576666922535,CO,2022-11-03,1,1,0,1,1,1,1,1,0,0,1,0,1,1
223,1.25069208047358,0.2942343240574425,CO,2022-11-04,1,1,1,1,1,1,1,1,0,0,0,1,1,1
224,2.41053549766878,0.38796004100363,CO,2022-11-05,1,0,1,1,0,1,0,1,0,0,0,0,1,0
225,2.35273030098001,0.3275781918261885,CO,2022-11-06,1,1,0,1,0,1,1,1,0,1,0,0,1,1
226,2.37358852963335,0.2724777544547955,CO,2022-11-07,1,0,1,1,1,1,1,1,0,0,0,0,1,1
227,1.87649950053593,0.3017065466072845,CO,2022-11-08,1,1,1,1,1,1,1,1,0,0,1,0,1,1
228,2.13562240586146,0.2601905749182175,CO,2022-11-09,1,1,1,1,1,1,1,1,1,0,0,0,1,1
229,2.04188929588838,0.306664687150334,CO,2022-11-10,1,1,1,1,1,0,0,1,1,0,0,0,0,0
