...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,other_95_CI
225,0.118352109561065,0.001610621257927155,CO,2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1
226,1.5434947325083,0.235979645507658,CO,2023-03-06,1,1,0,1,1,0,0,1,0,1,1,0
227,0.512599875269734,0.072708057255502,CO,2023-03-07,1,1,1,1,1,1,0,1,1,1,1,0
228,0.524363752640003,0.0858421688844895,CO,2023-03-08,1,1,1,1,1,1,1,1,1,1,1,1
229,0.0729143572981489,0.001142994870397175,CO,2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
230,0.054951519578393,0.00105684057109246,CO,2023-03-10,1,1,1,1,1,1,1,1,1,1,1,1
231,0.00431390290388597,9.80222666129485e-4,CO,2023-03-11,1,1,1,1,1,1,0,1,0,1,1,1
232,0.012274578417584,9.12057635991425e-4,CO,2023-03-12,1,1,1,1,1,1,1,1,1,1,1,1
233,0.0140358418720551,8.51398602577845e-4,CO,2023-03-13,1,1,1,1,1,1,1,1,1,1,1,1
234,0.055286506876662,7.9741812461532e-4,CO,2023-03-14,1,1,1,1,1,1,1,1,1,1,1,1
235,0.362369797352342,7.49393240627375e-4,CO,2023-03-15,1,1,1,1,1,1,1,0,0,0,1,1
236,0.236202455761268,7.0669247859991e-4,CO,2023-03-16,1,1,1,1,1,1,0,1,0,1,1,1
237,0.915306490932628,0.190438467584973,CO,2023-03-17,0,1,0,1,1,1,1,1,0,1,1,0
238,1.17603283643401,0.4756999756998785,CO,2023-03-18,0,1,0,1,1,1,0,1,0,1,1,1
239,0.838490218932116,0.15915388301447,CO,2023-03-19,0,1,1,1,1,1,0,1,0,1,1,1
240,0.270186256230261,5.7911283730897e-4,CO,2023-03-20,1,1,1,1,1,1,1,0,0,1,1,1
241,0.927183929627002,0.122017620465699,CO,2023-03-21,1,1,1,1,1,0,1,1,0,1,1,0
242,4.92784844444391,0.53953952730237,CO,2023-03-22,1,0,0,1,0,1,0,0,0,1,0,1
243,0.974434561602603,0.1223899381709845,CO,2023-03-23,1,1,1,1,0,1,0,1,1,1,0,1
244,0.0991904326992296,5.0349575911818e-4,CO,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1
245,0.00445262311067972,4.90848178576505e-4,CO,2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1
246,1.07081296787679,0.1956916331827915,CO,2023-03-26,1,1,1,1,0,1,1,1,0,1,0,1
247,0.101223795504088,4.71972539503355e-4,CO,2023-03-27,1,1,1,1,1,1,1,1,1,1,1,1
248,0.0878508664716984,4.655406108969e-4,CO,2023-03-28,1,1,1,1,1,1,1,1,1,1,1,1
